"","a","b","d","e","f","g","h","i","k","l","m","n","o","p","r","s","t","u","w","z","ä","ö","ü"
"m",0.0333333333333333,0.0388888888888889,0.0222222222222222,0.0222222222222222,0.0555555555555555,0.0444444444444444,0.255555555555556,0.105555555555556,0.0333333333333333,0.0111111111111111,1,0.611111111111111,0.05,0.0555555555555555,0.205555555555556,0.0333333333333333,0.0111111111111111,0.211111111111111,0.4,0.0166666666666667,0.0388888888888889,0.0333333333333333,0.155555555555556
"n",0.138888888888889,0.127777777777778,0.155555555555556,0.122222222222222,0.0333333333333333,0.116666666666667,0.755555555555556,0.0833333333333333,0.0888888888888889,0.0611111111111111,0.611111111111111,1,0.233333333333333,0.138888888888889,0.355555555555556,0.0860215053763441,0.0166666666666667,0.588888888888889,0.102150537634409,0.0944444444444444,0.122222222222222,0.0944444444444444,0.461111111111111
"o",0.666666666666667,0.533333333333333,0.65,0.522222222222222,0.0277777777777778,0.411111111111111,0.0777777777777778,0.0555555555555555,0.00555555555555557,0.0388888888888889,0.05,0.233333333333333,1,0.433333333333333,0.0222222222222222,0.211111111111111,0.0222222222222222,0.305555555555556,0.0222222222222222,0.0444444444444444,0.533333333333333,0.933333333333333,0.283333333333333
"p",0.355555555555556,0.677777777777778,0.682795698924731,0.233333333333333,0.105555555555556,0.583333333333333,0.244444444444444,0.1,0.0888888888888889,0.133333333333333,0.0555555555555555,0.138888888888889,0.433333333333333,1,0.127777777777778,0.043010752688172,0.0555555555555555,0.133333333333333,0.0277777777777778,0.0277777777777778,0.277777777777778,0.338888888888889,0.129032258064516
"r",0.0833333333333333,0.0444444444444444,0.0555555555555555,0.0444444444444444,0.466666666666667,0.0444444444444444,0.227777777777778,0.283333333333333,0.166666666666667,0.376344086021505,0.205555555555556,0.355555555555556,0.0222222222222222,0.127777777777778,1,0.1,0.394444444444444,0.161111111111111,0.00555555555555557,0.05,0.0277777777777778,0.0333333333333333,0.0722222222222222
"s",0.172222222222222,0.0666666666666667,0.0444444444444444,0.2,0.0444444444444444,0.133333333333333,0.0388888888888889,0.0111111111111111,0.0666666666666667,0.0166666666666667,0.0333333333333333,0.0860215053763441,0.211111111111111,0.043010752688172,0.1,1,0.0333333333333333,0.0555555555555555,0.0166666666666667,0.194444444444444,0.1,0.138888888888889,0.0222222222222222
"t",0.0277777777777778,0.105555555555556,0.0611111111111111,0.0333333333333333,0.633333333333333,0.0222222222222222,0.161111111111111,0.483333333333333,0.188888888888889,0.583333333333333,0.0111111111111111,0.0166666666666667,0.0222222222222222,0.0555555555555555,0.394444444444444,0.0333333333333333,1,0.1,0,0.0444444444444444,0.0222222222222222,0.0166666666666667,0.0555555555555555
"u",0.327777777777778,0.155555555555556,0.138888888888889,0.0944444444444444,0.0444444444444444,0.122222222222222,0.388888888888889,0.111111111111111,0.043010752688172,0.0483870967741935,0.211111111111111,0.588888888888889,0.305555555555556,0.133333333333333,0.161111111111111,0.0555555555555555,0.1,1,0.288888888888889,0.0944444444444444,0.261111111111111,0.277777777777778,0.888888888888889
"w",0.0333333333333333,0.0166666666666667,0.0111111111111111,0.05,0.0222222222222222,0.0277777777777778,0.05,0.05,0.177777777777778,0.0555555555555555,0.4,0.102150537634409,0.0222222222222222,0.0277777777777778,0.00555555555555557,0.0166666666666667,0,0.288888888888889,1,0.111111111111111,0.00555555555555557,0.0166666666666667,0.166666666666667
"z",0.0277777777777778,0.0222222222222222,0.0388888888888889,0.0555555555555555,0.05,0.0388888888888889,0.0333333333333333,0.0222222222222222,0.0833333333333333,0.0166666666666667,0.0166666666666667,0.0944444444444444,0.0444444444444444,0.0277777777777778,0.05,0.194444444444444,0.0444444444444444,0.0944444444444444,0.111111111111111,1,0.0277777777777778,0.0444444444444444,0.05
"ä",0.89247311827957,0.3,0.394444444444444,0.366666666666667,0.0555555555555555,0.283333333333333,0.0722222222222222,0.1,0.0333333333333333,0.0333333333333333,0.0388888888888889,0.122222222222222,0.533333333333333,0.277777777777778,0.0277777777777778,0.1,0.0222222222222222,0.261111111111111,0.00555555555555557,0.0277777777777778,1,0.6,0.424731182795699
"ö",0.494444444444444,0.344444444444444,0.383333333333333,0.355555555555556,0.0166666666666667,0.255555555555556,0.1,0.0888888888888889,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.0944444444444444,0.933333333333333,0.338888888888889,0.0333333333333333,0.138888888888889,0.0166666666666667,0.277777777777778,0.0166666666666667,0.0444444444444444,0.6,1,0.494623655913978
"ü",0.283333333333333,0.111111111111111,0.111111111111111,0.0944444444444444,0.0222222222222222,0.161111111111111,0.355555555555556,0.222222222222222,0.0333333333333333,0.0666666666666667,0.155555555555556,0.461111111111111,0.283333333333333,0.129032258064516,0.0722222222222222,0.0222222222222222,0.0555555555555555,0.888888888888889,0.166666666666667,0.05,0.424731182795699,0.494623655913978,1
